seed,snapshot,train_loss,parameter_fingerprint,left_parameter,right_parameter,delta_left,delta_right,selected_utility
9f4a7c15d6e8b301,600,0.916269481,e9f1a044b6704403,31,60,-0.020000000,-0.020000000,0.000680387
9f4a7c15d6e8b301,2400,0.368166298,c77a143239ef149b,112,12,0.005000000,0.020000000,0.000612795
9f4a7c15d6e8b301,4200,0.272810608,dc29d4a8d6fe5b41,62,95,0.020000000,-0.010000000,-0.000015616
c3a5c85c97cb3127,600,0.841898978,945faa5c429bb270,13,78,-0.020000000,0.000000000,0.000711024
c3a5c85c97cb3127,2400,0.419018239,88c24390d6662797,115,9,0.000000000,0.020000000,-0.000539601
c3a5c85c97cb3127,4200,0.314878345,1bf4f6f041df590c,21,13,0.000000000,0.020000000,0.002818972
b492b66fbe98f273,600,0.900209188,4f31d52a843697d2,112,102,0.020000000,0.020000000,0.001040399
b492b66fbe98f273,2400,0.446457058,5609ffbbe0c0ed26,93,31,0.010000000,0.020000000,-0.000786245
b492b66fbe98f273,4200,0.392722130,10cf7c1c2f6f81c9,68,89,0.000000000,-0.020000000,-0.000053853
6a09e667f3bcc909,600,0.921909630,fa008410804379bc,13,78,-0.020000000,0.020000000,0.000539303
6a09e667f3bcc909,2400,0.373705357,23572e257a33b04e,66,58,0.020000000,-0.020000000,0.000621885
6a09e667f3bcc909,4200,0.262810379,dc3eb3e700218507,23,11,0.020000000,0.000000000,0.000230908
bb67ae8584caa73b,600,0.894120693,f5b148749d8141fe,16,75,-0.020000000,0.020000000,0.000405490
bb67ae8584caa73b,2400,0.390194178,3a321013266aee7a,112,12,-0.010000000,-0.020000000,-0.000322819
bb67ae8584caa73b,4200,0.293079466,cd8974f34e050c31,24,10,0.020000000,0.020000000,0.002859861
3c6ef372fe94f82b,600,0.889382362,2bd06ec239ef625d,0,91,0.020000000,0.000000000,0.000447035
3c6ef372fe94f82b,2400,0.389879435,f49e2fa95dbc3ea3,108,16,-0.020000000,0.020000000,0.001122922
3c6ef372fe94f82b,4200,0.296300381,107fa64e200c181e,39,118,0.020000000,-0.020000000,0.001933664
a54ff53a5f1d36f1,600,0.825576842,e6fa2c9bc535ba19,112,102,0.020000000,0.020000000,0.000964224
a54ff53a5f1d36f1,2400,0.427595407,bec9a03c12b2e8ce,108,16,-0.020000000,0.020000000,0.000888526
a54ff53a5f1d36f1,4200,0.340867609,bfdd96e6a3202a30,65,92,0.000000000,-0.020000000,0.001096576
510e527fade682d1,600,0.827499449,4f8296fa486c95df,12,79,-0.020000000,-0.010000000,-0.000230312
510e527fade682d1,2400,0.403202266,be4bb47e4c516283,116,8,0.020000000,0.020000000,0.000627518
510e527fade682d1,4200,0.342344165,f7b5489e2dbd32f0,22,12,0.020000000,-0.010000000,0.004881620
1f83d9abfb41bd6b,600,0.915412366,4378ce8ac3463f8c,15,76,0.020000000,-0.020000000,0.000315845
1f83d9abfb41bd6b,2400,0.448276728,17b0ab3b6086b646,101,23,0.020000000,-0.020000000,0.000300109
1f83d9abfb41bd6b,4200,0.396180540,e22a537b43cda389,23,11,-0.020000000,0.005000000,-0.000772119
